Common Name,Scientific Name,Status
Abbott's booby,Papasula (=Sula) abbotti,Endangered
Aboriginal Prickly-apple,Harrisia (=Cereus) aboriginum (=gracilis),Endangered
Acklins ground iguana,Cyclura rileyi nuchalis,Threatened
Acuna Cactus,Echinomastus erectocentrus var. acunensis,Endangered
Addax,Addax nasomaculatus,Endangered
Adriatic sturgeon,Acipenser naccarii,Endangered
A`e,Zanthoxylum dipetalum var. tomentosum,Endangered
A`e,Zanthoxylum hawaiiense,Endangered
A`e,Zanthoxylum oahuense,Endangered
African coelacanth,Latimeria chalumnae,Threatened
African coelacanth,Latimeria chalumnae,Threatened
African dwarf crocodile,Osteolaemus tetraspis tetraspis,Endangered
African elephant,Loxodonta africana,Threatened
African penguin,Spheniscus demersus,Endangered
African slender-snouted crocodile,Crocodylus cataphractus,Endangered
African viviparous toads,Nectophrynoides spp.,Endangered
African wild ass,Equus africanus,Endangered
African wild dog,Lycaon pictus,Endangered
`Ahinahina,Argyroxiphium sandwicense ssp. macrocephalum,Threatened
`Ahinahina,Argyroxiphium sandwicense ssp. sandwicense,Endangered
"`Aiakeakua, popolo",Solanum sandwicense,Endangered
`Aiea,Nothocestrum breviflorum,Endangered
`Aiea,Nothocestrum latifolium,Endangered
`Aiea,Nothocestrum peltatum,Endangered
Akekee,Loxops caeruleirostris,Endangered
akiapolaau,Hemignathus wilsoni,Endangered
Akikiki,Oreomystis bairdi,Endangered
`Akoko,Euphorbia celastroides var. kaenana,Endangered
`Akoko,Euphorbia deppeana,Endangered
`Akoko,Euphorbia eleanoriae,Endangered
`Akoko,Euphorbia haeleeleana,Endangered
`Akoko,Euphorbia herbstii,Endangered
`Akoko,Euphorbia kuwaleana,Endangered
`Akoko,Euphorbia remyi var. kauaiensis,Endangered
`Akoko,Euphorbia remyi var. remyi,Endangered
`Akoko,Euphorbia rockii,Endangered
''Akoko,Euphorbia halemanui,Endangered
`aku,Cyanea tritomantha,Endangered
`aku`aku,Cyanea platyphylla,Endangered
`Ala `ala wai nui,Peperomia subpetiolata,Endangered
Ala balik (trout),Salmo platycephalus,Endangered
Alabama beach mouse,Peromyscus polionotus ammobates,Endangered
Alabama canebrake pitcher-plant,Sarracenia rubra ssp. alabamensis,Endangered
Alabama cavefish,Speoplatyrhinus poulsoni,Endangered
Alabama cave shrimp,Palaemonias alabamae,Endangered
Alabama lampmussel,Lampsilis virescens,Endangered
Alabama leather flower,Clematis socialis,Endangered
Alabama moccasinshell,Medionidus acutissimus,Threatened
Alabama pearlshell,Margaritifera marrianae,Endangered
Alabama red-bellied turtle,Pseudemys alabamensis,Endangered
Alabama streak-sorus fern,Thelypteris pilosa var. alabamensis,Threatened
Alabama sturgeon,Scaphirhynchus suttkusi,Endangered
Alameda whipsnake (=striped racer),Masticophis lateralis euryxanthus,Threatened
Alamosa springsnail,Tryonia alamosae,Endangered
Alani,Melicope adscendens,Endangered
Alani,Melicope balloui,Endangered
Alani,Melicope christophersenii,Endangered
Alani,Melicope degeneri,Endangered
Alani,Melicope haupuensis,Endangered
Alani,Melicope hiiakae,Endangered
Alani,Melicope knudsenii,Endangered
Alani,Melicope lydgatei,Endangered
Alani,Melicope makahae,Endangered
Alani,Melicope mucronulata,Endangered
Alani,Melicope munroi,Endangered
Alani,Melicope ovalis,Endangered
Alani,Melicope pallida,Endangered
Alani,Melicope paniculata,Endangered
Alani,Melicope puberula,Endangered
Alani,Melicope quadrangularis,Endangered
Alani,Melicope reflexa,Endangered
Alani,Melicope saint-johnii,Endangered
Alani,Melicope zahlbruckneri,Endangered
Alaotra Grebe,Tachybaptus rufolavatus,Endangered
Aldabra Warbler (old world warbler),Nesillas aldabranus,Endangered
Aleutian shield fern,Polystichum aleuticum,Endangered
Algerian nuthatch,Sitta ledanti,Endangered
Allen's Cay iguana,Cyclura cychlura inornata,Threatened
Altamaha Spinymussel,Elliptio spinosa,Endangered
Amargosa niterwort,Nitrophila mohavensis,Endangered
Amargosa vole,Microtus californicus scirpensis,Endangered
Amazonian manatee,Trichechus inunguis,Endangered
Amber darter,Percina antesella,Endangered
American alligator,Alligator mississippiensis,Similarity of Appearance (Threatened)
American burying beetle,Nicrophorus americanus,Endangered
American chaffseed,Schwalbea americana,Endangered
American crocodile,Crocodylus acutus,Endangered
American crocodile,Crocodylus acutus,Threatened
American hart's-tongue fern,Asplenium scolopendrium var. americanum,Threatened
